
Order number                            : Executive Order 14163
Date signed                             : January 20, 2025
Signed by                               : President Donald Trump
Detailed Summary                        : This executive order suspends the U.S. Refugee Admissions Program (USRAP) until a review determines that admitting refugees aligns with US interests. It cites concerns about straining resources and affecting safety and security.
Agency Impacted                         : {Department of Homeland Security, Department of State}
Within Executive Powers                 : True
Exceeds Executive Powers                : False
Legal                                   : True
Pros                                    : {Addresses perceived strain on resources and communities due to high migration levels, Aims to ensure national security and public safety in refugee admissions}
Cons                                    : {Suspends a humanitarian program potentially leaving vulnerable individuals stranded, Could damage the US's reputation as a welcoming nation}
Keywords                                : {Refugees, Immigration, USRAP, National Security…}
Authority granted to                    : {Secretary of Homeland Security, Secretary of State}
Impacted entities                       : {Refugees, State and Local Governments}
Budgetary impact                        : Not specified
Enforcement Mechanism                   : {Suspension of refugee admissions, Case-by-case approvals by Secretaries of State and Homeland Security}
Implementation timeline                 : Immediate suspension, review within 90 days
Long-term Impact                        : Uncertain, depending on the outcome of the review and future policies
Stakeholder Reactions                   : {Likely mixed, with support from those concerned about migration levels and opposition from refugee advocates}
Historical Context                      : {Previous administrations have adjusted USRAP admissions numbers based on various factors}
Implementation Challenges               : {Balancing national security concerns with humanitarian obligations, Navigating legal complexities related to asylum seekers}
Public Perception                       : {Likely divided along political lines, Potential for increased polarization}
Legal Precedents                        : {Prior executive orders regarding refugee admissions}
Executive Order Comparisons             : {Previous orders adjusting USRAP numbers}
Executive Order Duration                : Temporary, pending review
Scope of Applicability                  : {Applies to the entire United States}
Interaction with Other Laws/Regulations : {May conflict with existing asylum laws and international obligations}
Delegated Powers                        : {Secretaries of State and Homeland Security given authority to approve refugees on a case-by-case basis}
Revocation/Modification Process         : {Subject to Presidential action, Review mandated every 90 days}
Political Context                       : {Highly politicized issue, Reflects concerns about immigration and national identity}
Priority Areas Addressed                : {National security, Resource allocation, Immigration control}
Compliance Requirements                 : {Not specified, Likely involves reporting and coordination between agencies}
Court Involvement                       : {Potential for legal challenges}
Impact on International Relations       : {May strain relationships with countries relying on US refugee resettlement}
Enabling Legislation                    : {Immigration and Nationality Act (INA)}
Review and Oversight Mechanism          : {90-day review by Secretary of Homeland Security, Consultations with other agencies}
Temporary vs. Permanent Measures        : Temporary suspension pending review
Environmental Considerations            : {Not mentioned}
Civil Liberties Considerations          : {Raises concerns about potential discrimination and denial of asylum rights}
Public Health Impact                    : {Not addressed}
Data and Reporting Requirements         : {Likely required for the review process}
Security Implications                   : {Central to the justification for the order}
Partisan Support/Opposition             : {Likely divided along party lines}
Executive Action Precedent              : {Establishes a precedent for using executive power to restrict refugee admissions}
Economic Sector Impact                  : {Potential impact on industries reliant on immigrant labor}
Labor/Workforce Impact                  : {May affect access to low-wage labor}
Technological Impact                    : {Not mentioned}
Social Justice Considerations           : {Raises concerns about equity and fairness in refugee resettlement}
Transparency                            : {Review process may lack transparency, Public input not explicitly mentioned}
Public Engagement or Consultation       : {Consultation required with State and local jurisdictions}

