
Order number                            : 14203
Date signed                             : February 6, 2025
Signed by                               : DONALD J. TRUMP
Detailed Summary                        : This executive order imposes sanctions on the International Criminal Court (ICC), alleging it has engaged in illegitimate and baseless actions targeting the United States and Israel. It cites the ICC's investigation of U.S. personnel, including former Prime Minister Benjamin Netanyahu and former Defense Minister Yoav Gallant, as justification for the sanctions.
                                          
                                          The order blocks property and interests in property of individuals associated with the ICC, suspends entry into the United States of ICC officials and their families, and prohibits donations to entities connected to the court. It argues that these measures are necessary to protect U.S. national security and foreign policy interests.
Agency Impacted                         : International Criminal Court
Within Executive Powers                 : 
Exceeds Executive Powers                : 
Legal                                   : 
Pros                                    : 
Cons                                    : 
Keywords                                : {sanctions, International Criminal Court, ICC, Israel…}
Authority granted to                    : Secretary of the Treasury
Impacted entities                       : International Criminal Court officials, employees, and agents
Budgetary impact                        : 
Enforcement Mechanism                   : Blocking property and assets, suspending entry into the United States
Implementation timeline                 : Immediate
Long-term Impact                        : 
Stakeholder Reactions                   : 
Historical Context                      : 
Implementation Challenges               : 
Public Perception                       : 
Legal Precedents                        : 
Executive Order Comparisons             : 
Executive Order Duration                : 
Scope of Applicability                  : International
Interaction with Other Laws/Regulations : International Emergency Economic Powers Act (IEEPA), National Emergencies Act (NEA)
Delegated Powers                        : Secretary of the Treasury
Revocation/Modification Process         : 
Political Context                       : 
Priority Areas Addressed                : National security, foreign policy
Compliance Requirements                 : 
Court Involvement                       : 
Impact on International Relations       : 
Enabling Legislation                    : 
Review and Oversight Mechanism          : 
Temporary vs. Permanent Measures        : 
Environmental Considerations            : 
Civil Liberties Considerations          : 
Public Health Impact                    : 
Data and Reporting Requirements         : 
Security Implications                   : 
Partisan Support/Opposition             : 
Executive Action Precedent              : 
Economic Sector Impact                  : 
Labor/Workforce Impact                  : 
Technological Impact                    : 
Social Justice Considerations           : 
Transparency                            : 

